activity,Uppm,adjwt,basement,cntyfips,county,dupflag,floor,idnum,lat,lon,pcterr,region,rep,room,startdt,starttm,state,state2,stfips,stopdt,stoptm,stratum,typebldg,wave,windoor,zip,zipflag
1.600000023841858,2.4975900650024414,292.21954345703125,b'N',3,b'ALLEN               ',0,1,1681,41.09099960327149,-85.06700134277344,12.699999809265135,2,3,2,11489,2230,b'IN',b'IN',18,11689,2235,2,1,92,b' ',46835,0
0.5,2.6652700901031494,364.95831298828125,b'N',25,b'YAVAPAI             ',0,1,1457,34.59999847412109,-112.5540008544922,0.0,2,5,2,22688,833,b'AZ',b'AZ',4,22888,1010,2,1,56,b' ',86325,0
3.0,2.433429956436157,626.5645751953125,b'Y',17,b'MIDDLESEX           ',0,0,4224,42.48500061035156,-71.39199829101562,9.699999809265137,6,1,2,32288,1000,b'MA',b'MA',25,32488,1000,1,1,23,b' ',1778,0
0.6000000238418579,2.433429956436157,570.6117553710938,b'N',17,b'MIDDLESEX           ',0,1,4094,42.48500061035156,-71.39199829101562,27.60000038146973,6,3,3,32488,700,b'MA',b'MA',25,32688,1200,1,1,62,b' ',1432,0
1.2000000476837158,2.1081099510192867,426.7988586425781,b'Y',95,b'JACKSON             ',0,0,6849,39.007999420166016,-94.34700012207031,23.5,1,3,4,32288,605,b'MO',b'MO',29,32488,610,2,1,91,b' ',64134,0
2.799999952316284,2.618979930877685,322.10760498046875,b'Y',19,b'BUTLER              ',0,0,10158,40.9119987487793,-79.91300201416016,11.0,4,5,4,22789,1715,b'PA',b'PA',42,30389,1715,1,1,111,b' ',16059,0
1.5,2.1404500007629395,211.50511169433602,b'N',143,b'SCOTT               ',0,3,3018,38.685001373291016,-85.74800109863281,23.29999923706055,4,1,0,121988,1800,b'IN',b'IN',18,122188,1800,1,0,8,b' ',47170,0
2.5999999046325684,1.6983699798583984,329.47784423828125,b'Y',127,b'PORTER              ',0,0,2897,41.50899887084961,-87.072998046875,10.100000381469727,1,1,4,31588,1600,b'IN',b'IN',18,31788,1700,2,1,56,b' ',46304,0
6.0,1.3120800256729126,990.4115600585938,b'Y',13,b'BLUE EARTH          ',0,0,5161,44.03499984741211,-94.06700134277344,5.599999904632568,4,4,7,20288,1300,b'MN',b'MN',27,20288,1301,3,1,47,b' ',56001,0
2.799999952316284,2.1081099510192867,438.808349609375,b' ',95,b'JACKSON             ',0,0,6875,39.007999420166016,-94.34700012207031,13.100000381469727,1,2,0,22488,2000,b'MO',b'MO',29,22788,1500,2,0,72,b' ',64145,0
4.5,1.549049973487854,213.76417541503903,b'Y',15,b'BURLEIGH            ',0,0,8057,46.97700119018555,-100.46900177001952,7.800000190734862,5,1,7,31488,1742,b'ND',b'ND',38,31688,1742,5,1,67,b' ',58501,0
2.5,2.1282999515533447,710.826416015625,b'Y',49,b'ERIE                ',0,0,10519,42.11999893188477,-80.0979995727539,11.100000381469727,6,5,0,31688,1500,b'PA',b'PA',42,31888,1510,3,1,35,b' ',16412,0
